Violation #,Track ID,Vehicle Type,Speed (km/h),Speed Limit,Over By,Direction,Timestamp,Frame,Full Frame Path,Plate Path,Plate Text
1,6,car,8.8,5.0,+3.8,approaching,2025-12-24 13:33:26,176,../data/outputs/highway_demo/snapshots/violation_001/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_001/plate.jpg,APDSEJEQ
2,7,car,9.1,5.0,+4.1,approaching,2025-12-24 13:33:31,203,../data/outputs/highway_demo/snapshots/violation_002/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_002/plate.jpg,KHOSZZK
3,10,car,8.6,5.0,+3.6,approaching,2025-12-24 13:33:34,240,../data/outputs/highway_demo/snapshots/violation_003/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_003/plate.jpg,LROZED
4,13,car,8.6,5.0,+3.6,approaching,2025-12-24 13:33:36,255,../data/outputs/highway_demo/snapshots/violation_004/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_004/plate.jpg,ZHY
5,23,car,11.0,5.0,+6.0,approaching,2025-12-24 13:33:39,301,../data/outputs/highway_demo/snapshots/violation_005/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_005/plate.jpg,
6,18,car,10.4,5.0,+5.4,approaching,2025-12-24 13:33:40,311,../data/outputs/highway_demo/snapshots/violation_006/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_006/plate.jpg,EYGINDG
7,20,car,8.3,5.0,+3.3,approaching,2025-12-24 13:33:44,363,../data/outputs/highway_demo/snapshots/violation_007/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_007/plate.jpg,HNIA
8,26,car,10.2,5.0,+5.2,approaching,2025-12-24 13:33:44,366,../data/outputs/highway_demo/snapshots/violation_008/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_008/plate.jpg,LO8HVF
9,27,car,6.8,5.0,+1.8,approaching,2025-12-24 13:33:51,471,../data/outputs/highway_demo/snapshots/violation_009/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_009/plate.jpg,MSAKG]
10,12,car,9.6,5.0,+4.6,approaching,2025-12-24 13:33:51,472,../data/outputs/highway_demo/snapshots/violation_010/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_010/plate.jpg,0G65U5J
11,22,car,7.1,5.0,+2.1,approaching,2025-12-24 13:33:56,551,../data/outputs/highway_demo/snapshots/violation_011/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_011/plate.jpg,KKEADHV
12,43,car,11.2,5.0,+6.2,approaching,2025-12-24 13:34:00,608,../data/outputs/highway_demo/snapshots/violation_012/full_frame.jpg,../data/outputs/highway_demo/snapshots/violation_012/plate.jpg,
